  0.69999999999999996        21000000000.000000     
    1143          0.31557300E+14
     0.9770630E+06            0.469630000000E+15            0.932823340000E+05
     0.9829950E+06            0.464125000000E+15            0.930941800000E+05
     0.9886490E+06            0.458052000000E+15            0.928890420000E+05
     0.9943030E+06            0.451851000000E+15            0.926821720000E+05
     0.9999570E+06            0.445641000000E+15            0.924777670000E+05
     0.1005350E+07            0.440422000000E+15            0.923081230000E+05
     0.1010490E+07            0.434654000000E+15            0.921229310000E+05
     0.1015630E+07            0.428755000000E+15            0.919361420000E+05
     0.1020770E+07            0.422848000000E+15            0.917517440000E+05
     0.1025670E+07            0.417903000000E+15            0.915994490000E+05
     0.1030320E+07            0.412423000000E+15            0.914329030000E+05
     0.1034980E+07            0.406810000000E+15            0.912648540000E+05
     0.1039640E+07            0.401189000000E+15            0.910991110000E+05
     0.1044070E+07            0.396505000000E+15            0.909629820000E+05
     0.1048280E+07            0.391298000000E+15            0.908137890000E+05
     0.1052490E+07            0.385956000000E+15            0.906631660000E+05
     0.1056700E+07            0.380606000000E+15            0.905147490000E+05
     0.1060700E+07            0.376171000000E+15            0.903935910000E+05
     0.1064490E+07            0.371222000000E+15            0.902604690000E+05
     0.1068280E+07            0.366138000000E+15            0.901259800000E+05
     0.1072070E+07            0.361045000000E+15            0.899935840000E+05
     0.1075670E+07            0.356846000000E+15            0.898862000000E+05
     0.1079070E+07            0.352144000000E+15            0.897678850000E+05
     0.1082480E+07            0.347304000000E+15            0.896482600000E+05
     0.1085880E+07            0.342456000000E+15            0.895306060000E+05
     0.1089100E+07            0.338481000000E+15            0.894358090000E+05
     0.1092140E+07            0.334013000000E+15            0.893310570000E+05
     0.1095180E+07            0.329407000000E+15            0.892250550000E+05
     0.1098220E+07            0.324792000000E+15            0.891208910000E+05
     0.1101100E+07            0.321030000000E+15            0.890375190000E+05
     0.1103810E+07            0.316786000000E+15            0.889451160000E+05
     0.1106520E+07            0.312402000000E+15            0.888515270000E+05
     0.1109230E+07            0.308009000000E+15            0.887596370000E+05
     0.1111790E+07            0.304449000000E+15            0.886865610000E+05
     0.1114190E+07            0.300418000000E+15            0.886053300000E+05
     0.1116590E+07            0.296247000000E+15            0.885229840000E+05
     0.1119000E+07            0.292068000000E+15            0.884421930000E+05
     0.1121260E+07            0.288698000000E+15            0.883783290000E+05
     0.1123390E+07            0.284870000000E+15            0.883071390000E+05
     0.1125520E+07            0.280904000000E+15            0.882349100000E+05
     0.1127640E+07            0.276929000000E+15            0.881640910000E+05
     0.1129640E+07            0.273740000000E+15            0.881084120000E+05
     0.1131520E+07            0.270106000000E+15            0.880461840000E+05
     0.1133390E+07            0.266335000000E+15            0.879830000000E+05
     0.1135270E+07            0.262557000000E+15            0.879210820000E+05
     0.1137030E+07            0.259538000000E+15            0.878726210000E+05
     0.1138680E+07            0.256089000000E+15            0.878183390000E+05
     0.1140330E+07            0.252507000000E+15            0.877631880000E+05
     0.1141970E+07            0.248918000000E+15            0.877091600000E+05
     0.1143520E+07            0.246060000000E+15            0.876670170000E+05
     0.1144970E+07            0.242788000000E+15            0.876197300000E+05
     0.1146410E+07            0.239388000000E+15            0.875716620000E+05
     0.1147860E+07            0.235981000000E+15            0.875245800000E+05
     0.1149220E+07            0.233273000000E+15            0.874879260000E+05
     0.1150490E+07            0.230171000000E+15            0.874467520000E+05
     0.1151750E+07            0.226947000000E+15            0.874048860000E+05
     0.1153020E+07            0.223716000000E+15            0.873638750000E+05
     0.1154210E+07            0.221150000000E+15            0.873319510000E+05
     0.1155320E+07            0.218210000000E+15            0.872960780000E+05
     0.1156430E+07            0.215155000000E+15            0.872596010000E+05
     0.1157550E+07            0.212096000000E+15            0.872238560000E+05
     0.1158590E+07            0.209662000000E+15            0.871959740000E+05
     0.1159570E+07            0.206877000000E+15            0.871646610000E+05
     0.1160540E+07            0.203987000000E+15            0.871328310000E+05
     0.1161520E+07            0.201093000000E+15            0.871016180000E+05
     0.1162430E+07            0.198783000000E+15            0.870771580000E+05
     0.1163290E+07            0.196146000000E+15            0.870497370000E+05
     0.1164150E+07            0.193415000000E+15            0.870218810000E+05
     0.1165010E+07            0.190682000000E+15            0.869945380000E+05
     0.1165810E+07            0.188487000000E+15            0.869729590000E+05
     0.1166570E+07            0.185992000000E+15            0.869488390000E+05
     0.1167330E+07            0.183413000000E+15            0.869243600000E+05
     0.1168090E+07            0.180833000000E+15            0.869003060000E+05
     0.1168670E+07            0.180553000000E+15            0.868977230000E+05
     0.1169080E+07            0.179139000000E+15            0.868847580000E+05
     0.1169490E+07            0.177699000000E+15            0.868716830000E+05
     0.1169890E+07            0.176258000000E+15            0.868587390000E+05
     0.1170270E+07            0.175217000000E+15            0.868494720000E+05
     0.1170620E+07            0.173969000000E+15            0.868384560000E+05
     0.1170960E+07            0.172699000000E+15            0.868273550000E+05
     0.1171310E+07            0.171429000000E+15            0.868163560000E+05
     0.1171640E+07            0.170431000000E+15            0.868077900000E+05
     0.1171940E+07            0.169289000000E+15            0.867980760000E+05
     0.1172250E+07            0.168127000000E+15            0.867882880000E+05
     0.1172560E+07            0.166965000000E+15            0.867785900000E+05
     0.1172850E+07            0.165990000000E+15            0.867705380000E+05
     0.1173130E+07            0.164913000000E+15            0.867617240000E+05
     0.1173410E+07            0.163816000000E+15            0.867528370000E+05
     0.1173690E+07            0.162718000000E+15            0.867440370000E+05
     0.1173960E+07            0.161735000000E+15            0.867362480000E+05
     0.1174220E+07            0.160683000000E+15            0.867280130000E+05
     0.1174480E+07            0.159609000000E+15            0.867196990000E+05
     0.1174740E+07            0.158532000000E+15            0.867114800000E+05
