model:  21
model depth: 10^{10}g/cc
relative accuracy in total stellar mass SMASS .1000000E-06
central grav.mass density [g/cc] .1000000E+16
stellar mass [g] .3685329E+34 stellr mass [M_{sun}]    0.185E+01
g14 - gravitational acceleration in 10^{14} cm/s^2 .2116947E+01
radius .1245748E+07
spatialKnotsNumber:   1143                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
 sigma = 0.700000E+00
The model does not account for superfluidity                                                                                                                                                            
#
    1143
       5
   time           timeInYear       radius         rho            temperature     capacity       conductivity       sources
   0.315573E+14   0.100001E+07   0.302894E+06   0.942545E+15    0.11397371E+06   0.288666E+17   0.530875E+27  -0.186079E+04
   0.315573E+14   0.100001E+07   0.307646E+06   0.940695E+15    0.11388341E+06   0.288227E+17   0.529737E+27  -0.185442E+04
   0.315573E+14   0.100001E+07   0.312478E+06   0.938904E+15    0.11379599E+06   0.287803E+17   0.528564E+27  -0.983538E+03
   0.315573E+14   0.100001E+07   0.317310E+06   0.937057E+15    0.11370592E+06   0.287366E+17   0.527390E+27  -0.980330E+03
   0.315573E+14   0.100001E+07   0.322142E+06   0.935214E+15    0.11361604E+06   0.286930E+17   0.526200E+27  -0.977138E+03
   0.315573E+14   0.100001E+07   0.327056E+06   0.933193E+15    0.11351751E+06   0.286453E+17   0.524953E+27  -0.973649E+03
   0.315573E+14   0.100001E+07   0.332050E+06   0.931233E+15    0.11342204E+06   0.285992E+17   0.523668E+27  -0.970279E+03
   0.315573E+14   0.100001E+07   0.337045E+06   0.929216E+15    0.11332378E+06   0.285517E+17   0.522384E+27  -0.966822E+03
   0.315573E+14   0.100001E+07   0.342039E+06   0.927202E+15    0.11322574E+06   0.285044E+17   0.521081E+27  -0.963383E+03
   0.315573E+14   0.100001E+07   0.347115E+06   0.924999E+15    0.11311856E+06   0.284527E+17   0.519719E+27  -0.959636E+03
   0.315573E+14   0.100001E+07   0.352272E+06   0.922862E+15    0.11301462E+06   0.284026E+17   0.518316E+27  -0.956014E+03
   0.315573E+14   0.100001E+07   0.357430E+06   0.920664E+15    0.11290778E+06   0.283512E+17   0.516913E+27  -0.952305E+03
   0.315573E+14   0.100001E+07   0.362587E+06   0.918470E+15    0.11280116E+06   0.283000E+17   0.515492E+27  -0.948615E+03
   0.315573E+14   0.100001E+07   0.367825E+06   0.916076E+15    0.11268492E+06   0.282442E+17   0.514007E+27  -0.944608E+03
   0.315573E+14   0.100001E+07   0.373146E+06   0.913752E+15    0.11257212E+06   0.281902E+17   0.512479E+27  -0.940734E+03
   0.315573E+14   0.100001E+07   0.378466E+06   0.911364E+15    0.11245628E+06   0.281347E+17   0.510953E+27  -0.936770E+03
   0.315573E+14   0.100001E+07   0.383786E+06   0.908980E+15    0.11234068E+06   0.280794E+17   0.509406E+27  -0.932829E+03
   0.315573E+14   0.100001E+07   0.389188E+06   0.906386E+15    0.11221498E+06   0.280194E+17   0.507792E+27  -0.928561E+03
   0.315573E+14   0.100001E+07   0.394672E+06   0.903865E+15    0.11209291E+06   0.279612E+17   0.506132E+27  -0.924433E+03
   0.315573E+14   0.100001E+07   0.400156E+06   0.901278E+15    0.11196769E+06   0.279016E+17   0.504474E+27  -0.920215E+03
   0.315573E+14   0.100001E+07   0.405640E+06   0.898694E+15    0.11184273E+06   0.278422E+17   0.502795E+27  -0.916024E+03
   0.315573E+14   0.100001E+07   0.411206E+06   0.895889E+15    0.11170716E+06   0.277778E+17   0.501045E+27  -0.911497E+03
   0.315573E+14   0.100001E+07   0.416855E+06   0.893162E+15    0.11157544E+06   0.277154E+17   0.499247E+27  -0.907117E+03
   0.315573E+14   0.100001E+07   0.422503E+06   0.890365E+15    0.11144045E+06   0.276515E+17   0.497450E+27  -0.902649E+03
   0.315573E+14   0.100001E+07   0.428152E+06   0.887572E+15    0.11130575E+06   0.275879E+17   0.495632E+27  -0.898210E+03
   0.315573E+14   0.100001E+07   0.433883E+06   0.884547E+15    0.11115992E+06   0.275191E+17   0.493738E+27  -0.893427E+03
   0.315573E+14   0.100001E+07   0.439697E+06   0.881603E+15    0.11101817E+06   0.274523E+17   0.491794E+27  -0.888801E+03
   0.315573E+14   0.100001E+07   0.445512E+06   0.878587E+15    0.11087304E+06   0.273841E+17   0.489852E+27  -0.884086E+03
   0.315573E+14   0.100001E+07   0.451326E+06   0.875575E+15    0.11072822E+06   0.273161E+17   0.487887E+27  -0.879405E+03
   0.315573E+14   0.100001E+07   0.457224E+06   0.872318E+15    0.11057174E+06   0.272428E+17   0.485842E+27  -0.874373E+03
   0.315573E+14   0.100001E+07   0.463206E+06   0.869148E+15    0.11041958E+06   0.271717E+17   0.483744E+27  -0.869505E+03
   0.315573E+14   0.100001E+07   0.469187E+06   0.865902E+15    0.11026395E+06   0.270990E+17   0.481649E+27  -0.864552E+03
   0.315573E+14   0.100001E+07   0.475169E+06   0.862661E+15    0.11010866E+06   0.270267E+17   0.479530E+27  -0.859636E+03
   0.315573E+14   0.100001E+07   0.481236E+06   0.859160E+15    0.10994113E+06   0.269488E+17   0.477326E+27  -0.854362E+03
   0.315573E+14   0.100001E+07   0.487388E+06   0.855752E+15    0.10977819E+06   0.268732E+17   0.475066E+27  -0.849261E+03
   0.315573E+14   0.100001E+07   0.493540E+06   0.852266E+15    0.10961169E+06   0.267962E+17   0.472810E+27  -0.844078E+03
   0.315573E+14   0.100001E+07   0.499691E+06   0.848785E+15    0.10944558E+06   0.267194E+17   0.470528E+27  -0.838937E+03
   0.315573E+14   0.100001E+07   0.505930E+06   0.845029E+15    0.10926659E+06   0.266369E+17   0.468157E+27  -0.833431E+03
   0.315573E+14   0.100001E+07   0.512255E+06   0.841372E+15    0.10909250E+06   0.265569E+17   0.465726E+27  -0.828108E+03
   0.315573E+14   0.100001E+07   0.518581E+06   0.837634E+15    0.10891477E+06   0.264753E+17   0.463300E+27  -0.822707E+03
   0.315573E+14   0.100001E+07   0.524906E+06   0.833900E+15    0.10873746E+06   0.263942E+17   0.460848E+27  -0.817353E+03
   0.315573E+14   0.100001E+07   0.531321E+06   0.829875E+15    0.10854658E+06   0.263071E+17   0.458299E+27  -0.811626E+03
   0.315573E+14   0.100001E+07   0.537825E+06   0.825956E+15    0.10836095E+06   0.262225E+17   0.455688E+27  -0.806093E+03
   0.315573E+14   0.100001E+07   0.544329E+06   0.821953E+15    0.10817161E+06   0.261365E+17   0.453082E+27  -0.800488E+03
   0.315573E+14   0.100001E+07   0.550833E+06   0.817954E+15    0.10798274E+06   0.260510E+17   0.450449E+27  -0.985565E-11
   0.315573E+14   0.100001E+07   0.557430E+06   0.813644E+15    0.10777946E+06   0.259591E+17   0.447712E+27  -0.979387E-11
   0.315573E+14   0.100001E+07   0.564120E+06   0.809448E+15    0.10758188E+06   0.258701E+17   0.444909E+27  -0.973436E-11
   0.315573E+14   0.100001E+07   0.570810E+06   0.805165E+15    0.10738051E+06   0.257797E+17   0.442112E+27  -0.967426E-11
